#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
fsmi.social,suspend,false,false,Soapbox detected on fsmi.social at 2023-08-05 by soapblock.sh,false
ful.social,suspend,false,false,Soapbox detected on ful.social at 2023-08-05 by soapblock.sh,false
funky.at,suspend,false,false,Soapbox detected on social.funky.at at 2023-08-12 by soapblock.sh,false
gajsin.name,suspend,false,false,Soapbox detected on social.gajsin.name at 2023-08-12 by soapblock.sh,false
genderheretics.xyz,suspend,false,false,Soapbox detected on genderheretics.xyz at 2023-08-05 by soapblock.sh,false
geofront.rocks,suspend,false,false,Soapbox detected on geofront.rocks at 2023-08-05 by soapblock.sh,false
gigaohm.bio,suspend,false,false,Soapbox detected on gigaohm.bio at 2023-08-05 by soapblock.sh,false
giov.dev,suspend,false,false,Soapbox detected on fediv.giov.dev at 2023-08-11 by soapblock.sh,false
gleasonator.com,suspend,false,false,Soapbox detected on gleasonator.com at 2023-08-05 by soapblock.sh,false
gtfo.social,suspend,false,false,Soapbox detected on gtfo.social at 2023-08-05 by soapblock.sh,false
happytoo.cyou,suspend,false,false,Soapbox detected on happytoo.cyou at 2023-08-12 by soapblock.sh,false
hayu.sh,suspend,false,false,Soapbox detected on hayu.sh at 2023-08-05 by soapblock.sh,false
headcannon.xyz,suspend,false,false,Soapbox detected on headcannon.xyz at 2023-08-05 by soapblock.sh,false
hell0friend.de,suspend,false,false,Soapbox detected on social.hell0friend.de at 2023-08-05 by soapblock.sh,false
hendrixgames.com,suspend,false,false,Soapbox detected on social.hendrixgames.com at 2023-08-12 by soapblock.sh,false
here.blue,suspend,false,false,Soapbox detected on social.here.blue at 2023-08-12 by soapblock.sh,false
hermit.cafe,suspend,false,false,Soapbox detected on hermit.cafe at 2023-08-05 by soapblock.sh,false
hinter.bayern,suspend,false,false,Soapbox detected on social.hinter.bayern at 2023-08-05 by soapblock.sh,false
hitomi.dev,suspend,false,false,Soapbox detected on fedi.hitomi.dev at 2023-08-15 by soapblock.sh,false
